gid | name | spins | hist_list | hist_view | status | path | blocker | screenshot
1 | Lucky-Cat | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1-Lucky-Cat/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1-spins2.jpg
2 | Jungle-Kings | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2-Jungle-Kings/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2-spins2.jpg
4 | Jungle-Gems | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/4-Jungle-Gems/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/4-spins2.jpg
8 | Jurassic-Jungle | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/8-Jurassic-Jungle/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/8-spins2.jpg
16 | Jungle-Fruit | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/16-Jungle-Fruit/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/16-spins2.jpg
32 | Jungle-Treasure | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/32-Jungle-Treasure/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/32-spins2.jpg
33 | Jungle-Party | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/33-Jungle-Party/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/33-spins2.jpg
40 | Lucky-Santa | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/40-Lucky-Santa/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/40-spins2.jpg
41 | Lucky-Panda | 3 | True | False | ok | /Volumes/hd/cpgame/fixtures/41-Lucky-Panda/spin | None | None
42 | Lucky-Dragon | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/42-Lucky-Dragon/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/42-spins2.jpg
43 | Lucky-Wheel | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/43-Lucky-Wheel/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/43-spins2.jpg
44 | Lucky-777 | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/44-Lucky-777/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/44-spins2.jpg
45 | Rio-Carnival | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/45-Rio-Carnival/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/45-spins2.jpg
50 | Lucky-Cat-II | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/50-Lucky-Cat-II/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/50-spins2.jpg
51 | Galactic-GO | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/51-Galactic-GO/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/51-spins2.jpg
52 | Cyber-GO | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/52-Cyber-GO/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/52-spins2.jpg
53 | Ocean-GO | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/53-Ocean-GO/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/53-spins2.jpg
54 | Fishing-GO | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/54-Fishing-GO/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/54-spins2.jpg
